global step, learning rate, step-time, perplexity, time since start
200 , 0.5000 , 0.63 , 3383.78 , 127.95
400 , 0.5000 , 0.56 , 360.78 , 275.84
600 , 0.5000 , 0.58 , 310.18 , 401.45
800 , 0.5000 , 0.59 , 212.10 , 527.45
1000 , 0.5000 , 0.60 , 287.05 , 654.82
1200 , 0.5000 , 0.60 , 193.26 , 782.77
1400 , 0.5000 , 0.60 , 185.59 , 912.00
1600 , 0.5000 , 0.59 , 215.24 , 1038.24
1800 , 0.5000 , 0.61 , 193.21 , 1169.26
2000 , 0.5000 , 0.60 , 172.42 , 1297.93
2200 , 0.5000 , 0.58 , 161.83 , 1423.55
2400 , 0.5000 , 0.59 , 154.90 , 1548.16
2600 , 0.5000 , 0.60 , 199.80 , 1677.96
2800 , 0.4950 , 0.59 , 133.64 , 1803.44
3000 , 0.4950 , 0.61 , 113.85 , 1934.96
3200 , 0.4950 , 0.61 , 93.15 , 2066.29
3400 , 0.4950 , 0.60 , 86.99 , 2194.90
3600 , 0.4950 , 0.60 , 96.57 , 2323.46
3800 , 0.4950 , 0.61 , 73.43 , 2455.38
4000 , 0.4950 , 0.59 , 72.46 , 2583.15
4200 , 0.4950 , 0.61 , 63.00 , 2735.70
4400 , 0.4950 , 0.60 , 58.23 , 2864.62
4600 , 0.4950 , 0.60 , 68.84 , 2993.43
4800 , 0.4950 , 0.60 , 56.40 , 3123.36
5000 , 0.4950 , 0.58 , 54.05 , 3248.74
5200 , 0.4950 , 0.60 , 51.48 , 3378.43
5400 , 0.4950 , 0.61 , 49.01 , 3509.19
5600 , 0.4950 , 0.60 , 55.08 , 3639.81
5800 , 0.4901 , 0.59 , 46.74 , 3768.89
6000 , 0.4901 , 0.58 , 44.28 , 3894.15
6200 , 0.4901 , 0.61 , 43.37 , 4023.25
6400 , 0.4901 , 0.57 , 41.23 , 4144.95
6600 , 0.4901 , 0.58 , 40.13 , 4270.37
6800 , 0.4901 , 0.61 , 39.29 , 4402.25
7000 , 0.4901 , 0.60 , 38.13 , 4532.60
7200 , 0.4901 , 0.58 , 36.51 , 4658.84
7400 , 0.4901 , 0.58 , 35.59 , 4785.38
7600 , 0.4901 , 0.58 , 34.00 , 4910.46
7800 , 0.4901 , 0.59 , 33.26 , 5059.28
8000 , 0.4901 , 0.59 , 32.56 , 5186.54
8200 , 0.4901 , 0.59 , 31.62 , 5314.62
8400 , 0.4901 , 0.59 , 30.40 , 5441.62
8600 , 0.4901 , 0.61 , 33.98 , 5572.95
8800 , 0.4851 , 0.60 , 29.06 , 5702.03
9000 , 0.4851 , 0.59 , 27.55 , 5829.82
9200 , 0.4851 , 0.61 , 27.63 , 5960.55
